participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.q_calc_mpcr_1,player.q_calc_mpcr_p1_1,player.q_calc_mpcr_p2_1,player.q_calc_mpcr_2,player.q_calc_mpcr_p1_2,player.q_calc_mpcr_p2_2,player.q_calc_mpcr_3,player.q_calc_mpcr_p1_3,player.q_calc_mpcr_p2_3,player.q_calc_mpcr_4,player.q_calc_mpcr_p1_4,player.q_calc_mpcr_p2_4,player.q_calc_payoff_5,player.q_calc_payoff_6,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,7o0c45wm,SUB01,0,139,139,q,final,2025-11-10 01:30:01.426472,1,,,2200.0,1,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,1,1,l5e4ykqp,,,,,0
2,l0qctllj,SUB03,0,139,139,q,final,2025-11-10 01:30:01.611459,1,,,2840.0,2,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,1,1,l5e4ykqp,,,,,0
3,abzwgbcq,SUB02,0,139,139,q,final,2025-11-10 01:30:01.750620,1,,,2200.0,3,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,1,1,l5e4ykqp,,,,,0
4,3l43w4u5,SUB04,0,139,139,q,final,2025-11-10 01:30:01.822445,1,,,2840.0,1,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,2,1,l5e4ykqp,,,,,0
5,doh0cell,SUB08,0,139,139,q,final,2025-11-10 01:30:02.066096,1,,,1860.0,2,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,2,1,l5e4ykqp,,,,,0
6,3vzb3pl1,SUB05,0,139,139,q,final,2025-11-10 01:30:02.079532,1,,,2400.0,3,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,2,1,l5e4ykqp,,,,,0
7,56fb8rny,SUB06,0,139,139,q,final,2025-11-10 01:30:02.257230,1,,,4207.0,1,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,3,1,l5e4ykqp,,,,,0
8,pjnqjmxg,SUB07,0,139,139,q,final,2025-11-10 01:30:02.317724,1,,,1350.0,2,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,3,1,l5e4ykqp,,,,,0
9,h1gmydvc,SUB10,0,139,139,q,final,2025-11-10 01:30:02.439089,1,,,2300.0,3,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,3,1,l5e4ykqp,,,,,0
10,uu99ilwz,SUB09,0,139,139,q,final,2025-11-10 01:30:02.651413,1,,,1900.0,1,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,4,1,l5e4ykqp,,,,,0
11,aq7f4tqx,SUB13,0,139,139,q,final,2025-11-10 01:30:02.803593,1,,,3067.0,2,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,4,1,l5e4ykqp,,,,,0
12,kt7g2hwj,SUB14,0,139,139,q,final,2025-11-10 01:30:02.905797,1,,,2753.0,3,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,4,1,l5e4ykqp,,,,,0
13,rm5vy3bt,SUB11,0,139,139,q,final,2025-11-10 01:30:02.913967,1,,,3067.0,1,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,5,1,l5e4ykqp,,,,,0
14,zx78nx0d,SUB12,0,139,139,q,final,2025-11-10 01:30:02.933973,1,,,2000.0,2,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,5,1,l5e4ykqp,,,,,0
15,79fzxyfd,SUB15,0,139,139,q,final,2025-11-10 01:30:03.018469,1,,,2200.0,3,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,5,1,l5e4ykqp,,,,,0
16,3l77mar7,SUB16,0,139,139,q,final,2025-11-10 01:30:03.599485,1,,,2773.0,1,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,6,1,l5e4ykqp,,,,,0
17,f72ytn2t,SUB17,0,139,139,q,final,2025-11-10 01:30:03.621420,1,,,2200.0,2,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,6,1,l5e4ykqp,,,,,0
18,p6006kew,SUB18,0,139,139,q,final,2025-11-10 01:30:03.723683,1,,,2840.0,3,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,6,1,l5e4ykqp,,,,,0
19,02j6vi2c,SUB19,0,139,139,q,final,2025-11-10 01:30:03.754032,1,,,3067.0,1,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,7,1,l5e4ykqp,,,,,0
20,nzenq998,SUB20,0,139,139,q,final,2025-11-10 01:30:03.775841,1,,,2160.0,2,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,7,1,l5e4ykqp,,,,,0
21,ag9rhnkf,SUB21,0,139,139,q,final,2025-11-10 01:30:03.788705,1,,,3067.0,3,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,7,1,l5e4ykqp,,,,,0
22,90kgowjf,SUB22,0,139,139,q,final,2025-11-10 01:30:03.799975,1,,,2000.0,1,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,8,1,l5e4ykqp,,,,,0
23,tl41auqv,SUB24,0,139,139,q,final,2025-11-10 01:30:03.899752,1,,,2340.0,2,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,8,1,l5e4ykqp,,,,,0
24,s39aihz7,SUB23,0,139,139,q,final,2025-11-10 01:30:04.182029,1,,,2498.0,3,,0.0,0.15,1.05,0.6,0.6,0.6,0.6,0.825,0.825,0.15,0.375,0.375,1.05,8.3,12.5,8,1,l5e4ykqp,,,,,0
