"participant.id_in_session","participant.code","participant.label","participant.payoff","player.id_in_group_α","player.id_in_group_β","player.payoff_α","player.payoff_β","player.select_num_α","player.select_num_β","player.select_num_AB_list_α","player.select_num_AB_list_β","player.db_ban_optA_self_α","player.db_ban_optA_self_β","player.db_ban_optA_other_α","player.db_ban_optA_other_β","player.db_ban_optB_self_α","player.db_ban_optB_self_β","player.db_ban_optB_other_α","player.db_ban_optB_other_β","player.db_sc_jibun_α","player.db_sc_jibun_β","player.db_sc_aite_α","player.db_sc_aite_β","group.id_in_subsession_α","group.id_in_subsession_β","group.g_db_ban_α","group.g_db_ban_β","group.g_db_cr_α","group.g_db_cr_β","alpha_med","alpha_positive","beta_med","beta_positive"
23,"bnmnbdwn","baseSUB11",2627,1,1,0,1267,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1267,NA,360,NA,1267,NA,200,NA,1267,NA,360,12,12,24,8,1,2,-0.0215,0,0.0555,1
7,"pe2umqts","baseSUB12",2160,1,1,0,560,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,560,NA,600,NA,400,NA,1040,NA,560,NA,600,4,4,16,3,2,1,0.024,1,0.0555,1
16,"m3zfocuy","baseSUB13",2040,2,2,0,1040,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,40,NA,600,NA,400,NA,1040,NA,400,NA,1040,8,8,10,29,2,1,-0.0215,0,0.0555,1
22,"m9yslktc","baseSUB14",2520,2,2,0,1040,1,32,"[""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]",NA,120,NA,600,NA,400,NA,1040,NA,400,NA,1040,11,11,19,25,1,1,-0.313,0,0.85,1
9,"j6yqxxoi","baseSUB15",2487,1,1,0,1267,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1247,NA,360,NA,1267,NA,200,NA,1267,NA,200,5,5,2,9,2,2,-0.0215,0,0.0555,1
12,"at29pg4l","baseSUB16",1480,2,2,0,600,12,11,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,460,NA,600,NA,400,NA,1040,NA,460,NA,600,6,6,28,8,2,1,0.024,1,0.2365,1
10,"bvednbk1","baseSUB17",800,2,2,0,200,11,17,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1247,NA,360,NA,1267,NA,200,NA,1267,NA,200,5,5,2,9,2,2,-0.0215,0,0.5145,1
24,"mawud0wr","baseSUB18",1760,2,2,0,360,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1267,NA,360,NA,1267,NA,200,NA,1267,NA,360,12,12,24,8,1,2,0.024,1,0.0555,1
11,"6hwgynvg","baseSUB19",1460,1,1,0,460,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,460,NA,600,NA,400,NA,1040,NA,460,NA,600,6,6,28,8,2,1,-0.0215,0,0.0555,1
14,"8yzby83o","baseSUB20",2620,2,2,0,1040,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,220,NA,600,NA,400,NA,1040,NA,400,NA,1040,7,7,5,20,1,1,0.024,1,0.0555,1
