"participant.id_in_session","participant.code","participant.label","participant.payoff","player.id_in_group_α","player.id_in_group_β","player.payoff_α","player.payoff_β","player.select_num_α","player.select_num_β","player.select_num_AB_list_α","player.select_num_AB_list_β","player.db_ban_optA_self_α","player.db_ban_optA_self_β","player.db_ban_optA_other_α","player.db_ban_optA_other_β","player.db_ban_optB_self_α","player.db_ban_optB_self_β","player.db_ban_optB_other_α","player.db_ban_optB_other_β","player.db_sc_jibun_α","player.db_sc_jibun_β","player.db_sc_aite_α","player.db_sc_aite_β","group.id_in_subsession_α","group.id_in_subsession_β","group.g_db_ban_α","group.g_db_ban_β","group.g_db_cr_α","group.g_db_cr_β","alpha_med","beta_med"
10,"1yjy0byt","03SUB11",2160,2,2,0,360,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1347,NA,360,NA,1267,NA,200,NA,1347,NA,360,5,5,7,4,2,2,-0.0215,0.0555
14,"pbbjtbny","03SUB12",2160,2,2,0,360,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1367,NA,360,NA,1267,NA,200,NA,1367,NA,360,7,7,17,3,2,2,0.024,0.0555
11,"h37e76fb","03SUB13",3067,1,1,0,1267,12,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1247,NA,360,NA,1267,NA,200,NA,1267,NA,200,6,6,22,9,1,2,0.024,-0.0715
13,"bz7qn3h8","03SUB14",3167,1,1,0,1367,12,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1367,NA,360,NA,1267,NA,200,NA,1367,NA,360,7,7,17,3,2,2,0.024,-0.0715
15,"qhwjda1v","03SUB15",2237,1,1,0,1267,12,8,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,360,NA,360,NA,1267,NA,200,NA,1267,NA,200,8,8,17,31,1,2,0.024,-0.0715
17,"lrhgkzbl","03SUB16",2400,1,1,0,600,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,600,NA,600,NA,400,NA,1040,NA,600,NA,600,9,9,3,1,1,1,0.024,0.0555
16,"3ttjpmu8","03SUB17",2000,2,2,0,200,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,360,NA,360,NA,1267,NA,200,NA,1267,NA,200,8,8,17,31,1,2,-0.0215,0.0555
18,"1s2tlr4i","03SUB18",2700,2,2,0,600,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,600,NA,600,NA,400,NA,1040,NA,600,NA,600,9,9,3,1,1,1,-0.0215,0.0555
19,"k27jrc48","03SUB19",2200,1,1,0,400,11,14,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,240,NA,600,NA,400,NA,1040,NA,400,NA,1040,10,10,20,19,2,1,-0.0215,0.407
22,"sbt1p89r","03SUB20",2000,2,2,0,200,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1067,NA,360,NA,1267,NA,200,NA,1267,NA,200,11,11,1,18,2,2,-0.0215,0.0555
20,"g895v2j1","03SUB21",2840,2,2,0,1040,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,240,NA,600,NA,400,NA,1040,NA,400,NA,1040,10,10,20,19,2,1,-0.0215,0.0555
21,"sahpj75t","03SUB22",3067,1,1,0,1267,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1067,NA,360,NA,1267,NA,200,NA,1267,NA,200,11,11,1,18,2,2,0.024,0.0555
24,"ipqxkdwj","03SUB23",2840,2,2,0,1040,11,19,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,80,NA,600,NA,400,NA,1040,NA,400,NA,1040,12,12,22,27,1,1,-0.0215,0.5675
23,"7lu9cwhp","03SUB24",2200,1,1,0,400,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,80,NA,600,NA,400,NA,1040,NA,400,NA,1040,12,12,22,27,1,1,-0.0215,0.0555
1,"f2kso55w","03sub25",3087,1,1,0,1287,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1287,NA,360,NA,1267,NA,200,NA,1287,NA,360,1,1,19,7,2,2,0.024,0.0555
2,"n7a1fu6m","03sub26",2160,2,2,0,360,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1287,NA,360,NA,1267,NA,200,NA,1287,NA,360,1,1,19,7,2,2,-0.0215,0.0555
3,"8kmwo4gt","03sub27",3067,1,1,0,1267,6,17,"[""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1087,NA,360,NA,1267,NA,200,NA,1267,NA,200,2,2,18,17,1,2,-0.1995,0.5145
4,"yxxrfi4d","03sub28",2000,2,2,0,200,7,22,"[""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1087,NA,360,NA,1267,NA,200,NA,1267,NA,200,2,2,18,17,1,2,-0.1695,0.6275
6,"p5bzs20b","03sub29",2160,2,2,0,360,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1107,NA,360,NA,1267,NA,200,NA,1107,NA,360,3,3,11,16,2,2,-0.0215,0.0555
5,"nu7bx7wf","03sub30",2907,1,1,0,1107,7,32,"[""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]",NA,1107,NA,360,NA,1267,NA,200,NA,1107,NA,360,3,3,11,16,2,2,-0.1695,0.85
8,"3zjxp9zn","03sub31",2000,2,2,0,200,11,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1047,NA,360,NA,1267,NA,200,NA,1267,NA,200,4,4,26,19,1,2,-0.0215,0.0555
7,"kgq5z2ix","03sub32",3067,1,1,0,1267,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1047,NA,360,NA,1267,NA,200,NA,1267,NA,200,4,4,26,19,1,2,0.024,0.0555
10,"uucmjlg0","03sub33",2840,2,2,0,1040,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,40,NA,600,NA,400,NA,1040,NA,400,NA,1040,5,5,27,29,1,1,0.024,0.0555
9,"d5p17elz","03sub34",1900,1,1,0,400,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,40,NA,600,NA,400,NA,1040,NA,400,NA,1040,5,5,27,29,1,1,0.024,0.0555
11,"ka6yx04b","03sub35",3067,1,1,0,1267,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1207,NA,360,NA,1267,NA,200,NA,1267,NA,200,6,6,20,11,2,2,0.024,0.0555
12,"ploey1t9","03sub36",1900,2,2,0,200,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,1207,NA,360,NA,1267,NA,200,NA,1267,NA,200,6,6,20,11,2,2,0.024,0.0555
13,"2175moze","03sub37",3067,1,1,0,1267,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,868,NA,360,NA,1267,NA,200,NA,1267,NA,200,7,7,16,26,2,2,0.024,0.0555
14,"sta0f4if","03sub38",2000,2,2,0,200,11,23,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,868,NA,360,NA,1267,NA,200,NA,1267,NA,200,7,7,16,26,2,2,-0.0215,0.644
15,"rdadur8j","03sub39",2280,1,1,0,480,12,9,"[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]","[""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B"",""B""]",NA,480,NA,600,NA,400,NA,1040,NA,480,NA,600,8,8,8,7,1,1,0.024,0.0555
