participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,round 1_id_subsession,round 2_id_subsession,round 3_id_subsession,round 4_id_subsession,round 5_id_subsession,round 6_id_subsession,round 7_id_subsession,round 8_id_subsession,round 9_id_subsession,round 10_id_subsession,alpha_med,beta_med,player.gender,player.age,player.affiliation
basesub33,2,2,1,1,1,2,1,1,1,1,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,15.8,15.2,17.4,13.2,10.2,12.2,13.2,11.4,10.2,9.6,13,12,14,7,2,7,7,4,2,1,10,11,13,12,11,12,13,11,14,10,0.129,-0.0715,女性,21,12
basesub34,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.4,12.6,12.6,6,11.4,12,6.6,6,6.6,6,24,21,21,10,19,20,11,10,11,10,16,13,10,13,13,9,11,14,13,14,-0.313,0.4835,男性,21,3
basesub35,5,5,6,5,5,5,1,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.6,17,12.4,15.2,12.2,10.4,9.6,14.2,10,10,16,20,14,17,12,9,1,7,0,0,11,16,13,11,15,16,9,16,15,11,-0.0215,0.0555,男性,21,10
basesub36,5,1,6,7,7,5,0,5,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,12.8,21.6,16.6,9.6,10.2,11,11.2,9.2,16.6,10,13,21,21,11,12,10,2,7,11,0,10,13,10,14,15,14,14,16,13,12,-0.0215,0.0555,男性,21,10
basesub37,0,10,10,0,6,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,19,15.6,13.2,19.6,11.8,10,10.6,12.4,10,16,15,26,22,16,13,0,1,4,0,10,13,15,14,9,9,13,9,11,16,9,-0.313,0.303,男性,20,11
basesub38,10,5,4,3,1,4,2,3,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.4,12.8,15.6,11.2,13.2,18,11,9.4,10,13,24,13,16,7,7,20,5,4,0,5,16,12,16,12,10,9,16,11,16,16,-0.0215,0.0555,男性,23,22
basesub39,5,7,0,5,5,0,5,0,0,5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,14.6,10.2,13.6,15.2,11.6,16.6,8.6,16,10,8,16,12,6,17,11,11,6,10,0,5,11,14,15,11,14,10,12,14,10,16,-0.0215,0.0555,女性,20,10
basesub40,4,6,7,4,0,8,1,2,1,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,13.8,19.6,11.4,12.6,16.6,8.6,15.6,9.2,10.2,10,13,26,14,11,11,11,11,2,2,0,14,15,13,14,16,10,11,12,14,12,0.024,0.70194,女性,22,10
basesub41,3,5,3,6,3,5,0,1,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,17.8,12.8,17.2,13.6,18.4,9.2,13.6,9.6,10,10.6,18,13,17,16,19,7,6,1,0,1,12,12,11,9,13,12,12,9,11,10,0.129,0.4835,女性,23,29
basesub42,1,2,0,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,16.8,14.6,13.6,16,13,16,16.6,13.6,10,10,13,11,6,10,5,10,11,6,0,0,15,10,15,13,12,15,11,13,15,11,-0.0215,0.0555,男性,20,10
basesub43,2,2,2,1,1,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,15.8,14.6,18.8,13.2,15.6,16,15.4,10.6,10,16,13,11,18,7,11,10,9,1,0,10,15,10,9,16,16,14,15,9,15,14,0.024,0.0555,女性,19,8
basesub44,5,10,10,0,7,10,2,0,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,12.8,15.6,13.2,16.6,10.8,6,9.2,11.2,11.2,10.6,13,26,22,11,13,10,2,2,2,1,14,15,14,14,9,11,14,12,12,15,0.024,0.0555,どちらでもない,21,10
basesub45,4,3,2,7,1,2,1,2,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,13.8,14.8,21.2,13.2,13.2,13.4,14.4,10.4,10,10.6,13,13,22,17,7,9,9,4,0,1,14,12,14,11,10,16,15,10,10,15,0.024,0.0555,女性,20,3
basesub46,6,7,6,7,6,5,5,1,0,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,11.8,9.6,7.6,13.2,15.4,11,9.2,11.4,11.2,10,13,11,6,17,19,10,7,4,2,0,10,10,15,10,13,14,13,10,12,11,-0.2785,0.5145,男性,26,16
basesub47,6,10,8,8,6,6,8,8,2,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,13.6,12,12.2,6.8,10.6,16,7.4,8.6,9.2,6,16,20,17,8,11,20,9,11,2,10,11,16,11,15,14,9,15,15,12,9,-0.3015,-5,男性,24,22
basesub48,5,5,10,5,2,0,0,3,3,0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,15.8,17,10.8,15.2,11,16,13,13.6,8.8,10.6,18,20,18,17,5,10,5,11,3,1,12,16,9,10,12,11,16,15,9,10,-0.0215,0.0555,男性,22,22
