participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,round 1_id_subsession,round 2_id_subsession,round 3_id_subsession,round 4_id_subsession,round 5_id_subsession,round 6_id_subsession,round 7_id_subsession,round 8_id_subsession,round 9_id_subsession,round 10_id_subsession,alpha_med,beta_med,player.gender,player.age,player.affiliation
045SUB19,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,20.625,18,18,18,18,18,18,30,30,30,25,30,30,30,30,30,30,3,5,5,1,2,6,6,4,1,6,-0.1695,0.407,男性,21,5
045SUB20,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,1,8,8,5,3,3,8,6,6,3,-0.0215,0.0555,男性,19,11
045SUB21,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,5,7,4,3,7,7,5,8,7,4,0.024,0.0555,男性,20,10
045SUB22,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,16.5,18,18,18,18,18,18,30,30,30,20,30,30,30,30,30,30,7,6,7,4,5,5,5,8,6,6,-0.313,0.5145,男性,25,23
045SUB23,10,10,10,10,10,10,10,10,10,10,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.825,0.6,18,18.975,18,18,18,18,18,18,19.8,18,30,23,30,30,30,30,30,30,24,30,2,2,6,7,7,6,6,5,5,7,-0.3015,0.5145,男性,21,10
045SUB24,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18.975,18,18,18,18,18,18,18,30,30,23,30,30,30,30,30,30,30,7,5,2,6,6,7,8,6,2,7,0.024,-0.0715,男性,24,27
045sub25,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.825,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18.15,18,18,18,18,18,30,30,30,30,22,30,30,30,30,30,9,13,9,12,15,13,16,14,13,11,-0.0215,0.0555,男性,21,1
045sub26,10,10,10,10,10,10,10,10,10,10,0.6,0.825,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.6,18,16.5,18,18.15,18,18,18,18,18,18,30,20,30,22,30,30,30,30,30,30,13,16,12,11,14,16,16,16,14,15,0.024,-0.0715,男性,23,12
045sub27,7,10,10,10,10,10,10,10,10,10,0.15,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,7.05,18,18,18,18,18,18,18,18,18,27,30,30,30,30,30,30,30,30,30,14,14,12,13,9,14,10,11,9,11,0.129,0.6275,女性,20,8
045sub28,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,15,13,9,15,10,16,12,10,16,15,-0.1695,0.303,男性,20,10
045sub29,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,13,10,11,16,11,10,13,14,9,11,-0.0215,0.0555,男性,23,22
045sub30,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,9,10,11,13,16,13,13,16,10,10,-0.0215,0.0555,女性,23,13
045sub31,10,10,10,10,10,10,10,10,10,10,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,22.275,18,18,18,18,18,18,18,18,18,27,30,30,30,30,30,30,30,30,30,16,9,12,15,14,9,15,15,16,16,0.024,0.0555,男性,23,12
045sub32,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.825,0.6,0.6,18,18,18,18,18,18,18,16.5,18,18,30,30,30,30,30,30,30,20,30,30,10,15,15,10,12,11,14,13,16,14,-0.0215,0.0555,男性,21,14
045sub33,10,10,10,10,10,10,10,10,10,10,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,16.5,18,18,18,18,18,18,18,18,30,20,30,30,30,30,30,30,30,30,9,16,11,10,10,14,13,15,10,9,-0.0215,0.0555,男性,19,6
045sub34,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,11,14,16,16,9,14,10,12,15,16,0.024,0.303,男性,20,7
045sub35,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,10,11,14,14,16,12,15,10,13,10,0.024,0.0555,男性,19,2
045sub36,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,12,9,14,13,10,16,16,16,14,14,-0.0215,0.0555,男性,21,2
045sub37,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.825,0.6,0.6,18,18,18,18,18,18,18,16.5,18,18,30,30,30,30,30,30,30,20,30,30,11,9,15,12,12,10,9,13,12,14,-0.0215,0.0555,女性,24,23
045sub38,10,10,10,2,2,0,0,0,0,0,0.825,0.6,0.6,0.15,0.15,0.15,0.15,0.15,0.15,0.15,22.275,18,18,11.3,11.3,13,13,13,13,13,27,30,30,22,22,20,20,20,20,20,14,11,13,11,15,15,11,13,11,13,0.024,0.0555,女性,27,29
045sub39,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.825,0.6,0.6,0.6,0.6,18,18,18,18,18,16.5,18,18,18,18,30,30,30,30,30,20,30,30,30,30,15,12,10,16,13,15,9,15,9,12,-0.0215,-0.0715,女性,23,14
045sub40,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,13,15,16,9,9,13,10,9,15,10,-0.3015,0.835046,男性,22,12
045sub41,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,12,12,15,9,11,11,14,12,15,9,0.024,0.0555,男性,22,5
045sub42,10,10,10,10,10,10,10,10,10,10,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.825,22.275,18,18,18,18,18,18,18,18,16.5,27,30,30,30,30,30,30,30,30,20,14,13,14,9,14,12,9,9,10,13,0.024,0.5145,男性,20,2
045sub43,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.825,0.6,0.6,0.825,0.6,18,18,18,18,18,16.5,18,18,16.5,18,30,30,30,30,30,20,30,30,20,30,10,11,13,15,11,15,12,12,11,12,-0.0215,0.0555,女性,18,8
045sub44,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,12,10,13,14,12,12,15,9,12,15,0.024,0.0555,男性,21,10
045sub45,10,10,10,10,10,10,10,10,10,10,0.825,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,22.275,18,18,18,18,18,18,18,18,18,27,30,30,30,30,30,30,30,30,30,16,14,9,12,13,9,12,14,14,9,0.024,0.0555,男性,21,9
045sub46,7,0,10,10,10,10,10,10,10,10,0.15,0.15,0.6,0.6,0.825,0.6,0.825,0.6,0.6,0.6,7.05,13,18,18,18.15,18,16.5,18,18,18,27,20,30,30,22,30,20,30,30,30,16,16,10,14,15,11,11,10,13,16,-0.3015,-5,女性,26,26
045sub47,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.825,0.6,0.6,0.6,0.6,0.6,0.825,18,18,18,18.15,18,18,18,18,18,16.5,30,30,30,22,30,30,30,30,30,20,11,12,10,11,16,10,14,11,12,13,-0.0215,0.0555,女性,21,10
045sub48,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.825,0.6,0.825,0.6,18,18,18,18,18,18,16.5,18,16.5,18,30,30,30,30,30,30,20,30,20,30,15,15,16,10,13,9,11,11,11,12,0.024,-0.0715,男性,24,22
